,Mutual_Info
time_id,0.039936348305356084
investment_id,0.005871058218436254
f_0,0.002074427805275114
f_1,0.007886821561496227
f_2,0.022604656006593338
f_3,0.030644202860734104
f_4,0.011603082149424182
f_5,0.004087701438027835
f_6,0.0013430541400900609
f_7,0.004354173006329454
f_8,0.019371472230995224
f_9,0.0023869591252072553
f_10,0.018194168354831675
f_11,0.0110960476564399
f_12,0.004657708378856817
f_13,0.015709298670244287
f_14,0.014966183966795832
f_15,0.029619014164225632
f_16,0.022096714503872406
f_17,0.021456604746021846
f_18,0.001218566988431924
f_19,0.014562998742924549
f_20,0.00257761277453028
f_21,0.013571762224883877
f_22,0.023556352094747268
f_23,0.008430882033264808
f_24,0.009148667772169716
f_25,0.033029994818995156
f_26,0.004238105309374518
f_27,0.010851058776680134
f_28,0.03432820607016929
f_29,0.01348026005838232
f_30,0.012963820213991006
f_31,0.02952762087048999
f_32,0.012179666015715185
f_33,0.004653125046557349
f_34,0.007069206717431165
f_35,0.010404858576362308
f_36,0.02507302652418808
f_37,0.007716276045776738
f_38,0.005882917536308874
f_39,0.02157850403775008
f_40,0.0128076404299593
f_41,0.023842661317195812
f_42,0.018607186432238798
f_43,0.006939909770088626
f_44,0.013338342835394812
f_45,0.016153697164304148
f_46,0.01006891213606309
f_47,0.022781688666512423
f_48,0.01460012405472444
f_49,0.01300469821305228
f_50,0.020189370254015238
f_51,0.036811660855556205
f_52,0.017289543373898653
f_53,0.005233700996871704
f_54,0.030862191199796385
f_55,0.01581193775288181
f_56,0.015932525640192097
f_57,0.005438208287665169
f_58,0.0354137791522966
f_59,0.027047981159460832
f_60,0.011195499854169455
f_61,0.004386686968896214
f_62,0.01536150263846725
f_63,0.01637027515774303
f_64,0.01860228082641857
f_65,0.034864310137699306
f_66,0.008610874684877423
f_67,0.004900989995999083
f_68,0.018344708367133755
f_69,0.012597903310457959
f_70,0.014978956273035138
f_71,0.039882309318589826
f_72,0.026885560709074774
f_73,0.00602494824255384
f_74,0.012620349706873313
f_75,0.010558515896386567
f_76,0.017775458742777417
f_77,0.0217863318106577
f_78,0.011340405316104807
f_79,0.02659601070863893
f_80,0.011444809788324406
f_81,0.011862317349740081
f_82,0.019629558868523134
f_83,0.022960506139187764
f_84,0.005524817554452888
f_85,0.023284353719946083
f_86,0.030151230620332647
f_87,0.016897043601079353
f_88,0.017713306579082655
f_89,0.01585872486537987
f_90,0.005205924086386204
f_91,0.018420866709135453
f_92,0.006991230310803509
f_93,0.006978323959705435
f_94,0.004658622273097102
f_95,0.025989596970466877
f_96,0.00990883340877513
f_97,0.026171508795362897
f_98,0.023339248385631173
f_99,0.012840088445898346
f_100,0.013924829526802185
f_101,0.02488693608807946
f_102,0.013193681046162808
f_103,0.0042278425952746446
f_104,0.015380901782210188
f_105,0.002865136339562646
f_106,0.0218708529644287
f_107,0.013632623410728684
f_108,0.013669823461803787
f_109,0.022400767716985293
f_110,0.01051321753101675
f_111,0.0023189246169534883
f_112,0.0049090448379089935
f_113,0.03530341477769561
f_114,0.004338287427673393
f_115,0.0025637624743319876
f_116,0.037217576666076724
f_117,0.023606061195091677
f_118,0.008891669184367679
f_119,0.016462400284342316
f_120,0.01130758049424685
f_121,0.024409631168908597
f_122,0.00983535818353154
f_123,0.02464562332220499
f_124,0.004934497429175622
f_125,0.007339939585466304
f_126,0.002675627330229524
f_127,0.014451144364216795
f_128,0.014241257681686825
f_129,0.01232901562861688
f_130,0.013883098318835607
f_131,0.02707099272843916
f_132,0.015907908443550944
f_133,0.019387773259887275
f_134,0.04109531232788566
f_135,0.006340032125741857
f_136,0.033580413653340635
f_137,0.017699415673857466
f_138,0.020653956197629775
f_139,0.013836279014876496
f_140,0.02360235080788531
f_141,0.00784013978753162
f_142,0.0169321622533376
f_143,0.013676246354966004
f_144,0.004801188012133473
f_145,0.019139507597252248
f_146,0.014934298919606626
f_147,0.017069327783155508
f_148,0.012393099305513466
f_149,0.012288288988184348
f_150,0.015777234340260016
f_151,0.007746896513747714
f_152,0.011796555912446216
f_153,0.015170967224646503
f_154,0.008288742816275452
f_155,0.03078565034191527
f_156,0.013820008713928189
f_157,0.027085254580019757
f_158,0.029954244779569095
f_159,0.03138836391344402
f_160,0.02478062992760055
f_161,0.030750707316244963
f_162,0.014432382375592745
f_163,0.029607662825472225
f_164,0.006513416639185365
f_165,0.01457566635221319
